p,seed,steps,forward_per_step,actual_training_forwards,final_dev_loss,final_dev_accuracy,final_test_accuracy,source
5,0,700,12,8400,0.6753465533256531,0.74,0.6785714285714286,results/p_ablation_equal_budget/p5_s0.log
5,1,700,12,8400,0.7431054711341858,0.72,0.6785714285714286,results/p_ablation_equal_budget/p5_s1.log
5,2,700,12,8400,0.5921259522438049,0.82,0.6964285714285714,results/p_ablation_equal_budget/p5_s2.log
10,0,381,22,8382,0.680115282535553,0.74,0.6785714285714286,results/p_ablation_equal_budget/p10_s0.log
10,1,381,22,8382,0.7762166857719421,0.68,0.6785714285714286,results/p_ablation_equal_budget/p10_s1.log
10,2,381,22,8382,0.5923612117767334,0.8,0.6785714285714286,results/p_ablation_equal_budget/p10_s2.log
15,0,262,32,8384,0.6608869433403015,0.74,0.6785714285714286,results/p_ablation_equal_budget/p15_s0.log
15,1,262,32,8384,0.7513330578804016,0.72,0.6607142857142857,results/p_ablation_equal_budget/p15_s1.log
15,2,262,32,8384,0.6072628498077393,0.78,0.6607142857142857,results/p_ablation_equal_budget/p15_s2.log
20,0,200,42,8400,0.677803,0.74,0.678571,results/scaling/data/main_results_per_run.csv
20,1,200,42,8400,0.722646,0.76,0.660714,results/scaling/data/main_results_per_run.csv
20,2,200,42,8400,0.620065,0.82,0.678571,results/scaling/data/main_results_per_run.csv
25,0,161,52,8372,0.6799123883247375,0.74,0.6785714285714286,results/p_ablation_equal_budget/p25_s0.log
25,1,161,52,8372,0.7383444905281067,0.76,0.6785714285714286,results/p_ablation_equal_budget/p25_s1.log
25,2,161,52,8372,0.6097110509872437,0.82,0.6607142857142857,results/p_ablation_equal_budget/p25_s2.log
30,0,135,62,8370,0.6963210105895996,0.76,0.6785714285714286,results/p_ablation_equal_budget/p30_s0.log
30,1,135,62,8370,0.7404971122741699,0.76,0.6785714285714286,results/p_ablation_equal_budget/p30_s1.log
30,2,135,62,8370,0.609245777130127,0.82,0.6785714285714286,results/p_ablation_equal_budget/p30_s2.log
