model,method,hyperparameter,seed,eval_index,step,forward_passes,dev_loss
opt-125m,MeZO,1e-4,0,1,300,600,0.912520
opt-125m,MeZO,1e-4,0,2,600,1200,0.828913
opt-125m,MeZO,1e-4,0,3,900,1800,0.881370
opt-125m,MeZO,1e-4,0,4,1200,2400,1.104329
opt-125m,MeZO,1e-4,0,5,1500,3000,0.993400
opt-125m,MeZO,1e-4,0,6,1800,3600,0.996108
opt-125m,MeZO,1e-4,0,7,2100,4200,0.840838
opt-125m,MeZO,1e-4,0,8,2400,4800,1.080498
opt-125m,MeZO,1e-4,0,9,2700,5400,0.883997
opt-125m,MeZO,1e-4,0,10,3000,6000,1.090950
opt-125m,MeZO,1e-4,0,11,3300,6600,0.962099
opt-125m,MeZO,1e-4,0,12,3600,7200,1.015468
opt-125m,MeZO,1e-4,0,13,3900,7800,1.027039
opt-125m,MeZO,1e-4,0,14,4200,8400,1.136345
opt-125m,MeZO,1e-4,1,1,300,600,0.880267
opt-125m,MeZO,1e-4,1,2,600,1200,0.939272
opt-125m,MeZO,1e-4,1,3,900,1800,0.884768
opt-125m,MeZO,1e-4,1,4,1200,2400,0.876013
opt-125m,MeZO,1e-4,1,5,1500,3000,0.889197
opt-125m,MeZO,1e-4,1,6,1800,3600,0.909983
opt-125m,MeZO,1e-4,1,7,2100,4200,0.899399
opt-125m,MeZO,1e-4,1,8,2400,4800,0.889750
opt-125m,MeZO,1e-4,1,9,2700,5400,0.848146
opt-125m,MeZO,1e-4,1,10,3000,6000,0.893081
opt-125m,MeZO,1e-4,1,11,3300,6600,0.931947
opt-125m,MeZO,1e-4,1,12,3600,7200,0.862240
opt-125m,MeZO,1e-4,1,13,3900,7800,1.010529
opt-125m,MeZO,1e-4,1,14,4200,8400,0.928739
opt-125m,MeZO,1e-4,2,1,300,600,0.804929
opt-125m,MeZO,1e-4,2,2,600,1200,0.860537
opt-125m,MeZO,1e-4,2,3,900,1800,0.795957
opt-125m,MeZO,1e-4,2,4,1200,2400,0.758575
opt-125m,MeZO,1e-4,2,5,1500,3000,0.754283
opt-125m,MeZO,1e-4,2,6,1800,3600,0.846145
opt-125m,MeZO,1e-4,2,7,2100,4200,0.765427
opt-125m,MeZO,1e-4,2,8,2400,4800,0.815756
