model,method,hyperparameter,seed,forward_budget,final_dev_loss,final_dev_accuracy,final_test_accuracy
opt-125m,MeZO,1e-4,0,8400,1.136345,0.480000,0.553571
opt-125m,MeZO,1e-4,1,8400,0.928739,0.580000,0.535714
opt-125m,MeZO,1e-4,2,8400,0.770973,0.660000,0.464286
opt-125m,MeZO,1e-5,0,8400,0.809587,0.600000,0.625000
opt-125m,MeZO,1e-5,1,8400,0.851933,0.580000,0.535714
opt-125m,MeZO,1e-5,2,8400,0.765539,0.640000,0.642857
opt-125m,MeZO,1e-6,0,8400,0.699283,0.740000,0.696429
opt-125m,MeZO,1e-6,1,8400,0.783995,0.740000,0.678571
opt-125m,MeZO,1e-6,2,8400,0.625171,0.800000,0.678571
opt-125m,MeZO,1e-7,0,8400,0.829490,0.640000,0.642857
opt-125m,MeZO,1e-7,1,8400,0.874144,0.640000,0.625000
opt-125m,MeZO,1e-7,2,8400,0.813854,0.660000,0.642857
opt-125m,MeZO,1e-8,0,8400,0.987154,0.520000,0.482143
opt-125m,MeZO,1e-8,1,8400,1.013785,0.500000,0.482143
opt-125m,MeZO,1e-8,2,8400,0.909916,0.560000,0.482143
opt-125m,MpSub,1.0,0,8400,1.105166,0.440000,0.500000
opt-125m,MpSub,1.0,1,8400,0.822415,0.580000,0.553571
opt-125m,MpSub,1.0,2,8400,0.713432,0.760000,0.607143
opt-125m,MpSub,10.0,0,8400,1.138291,0.440000,0.500000
opt-125m,MpSub,10.0,1,8400,0.876385,0.500000,0.410714
opt-125m,MpSub,10.0,2,8400,0.819176,0.580000,0.482143
opt-125m,MpSub,1e-1,0,8400,0.677803,0.740000,0.678571
opt-125m,MpSub,1e-1,1,8400,0.722646,0.760000,0.660714
opt-125m,MpSub,1e-1,2,8400,0.620065,0.820000,0.678571
opt-125m,MpSub,3.0,0,8400,1.053304,0.440000,0.500000
opt-125m,MpSub,3.0,1,8400,0.830049,0.580000,0.428571
opt-125m,MpSub,3.0,2,8400,0.896828,0.460000,0.535714
opt-125m,MpSub,3e-1,0,8400,0.719711,0.740000,0.642857
opt-125m,MpSub,3e-1,1,8400,0.659756,0.760000,0.678571
opt-125m,MpSub,3e-1,2,8400,0.573949,0.840000,0.696429
opt-350m,MeZO,1e-5,0,8400,29.609535,0.440000,0.500000
opt-350m,MeZO,1e-5,1,8400,21.026548,0.500000,0.410714
opt-350m,MeZO,1e-5,2,8400,4.272644,0.380000,0.410714
opt-350m,MeZO,1e-6,0,8400,0.712367,0.740000,0.678571
opt-350m,MeZO,1e-6,1,8400,0.742895,0.720000,0.678571
opt-350m,MeZO,1e-6,2,8400,0.582012,0.880000,0.696429
opt-350m,MeZO,1e-7,0,8400,0.781747,0.700000,0.678571
opt-350m,MeZO,1e-7,1,8400,0.847222,0.660000,0.678571
opt-350m,MeZO,1e-7,2,8400,0.786389,0.740000,0.625000
opt-350m,MpSub,1e-1,0,8400,0.715281,0.760000,0.678571
opt-350m,MpSub,1e-1,1,8400,0.773672,0.780000,0.714286
opt-350m,MpSub,1e-1,2,8400,0.725406,0.820000,0.678571
