model,method,hyperparameter,n_seeds,test_mean,test_min,test_max,test_sd,test_sd_in_examples,dev_mean,dev_min,dev_max
opt-125m,MeZO,1e-6,3,0.6845,0.6786,0.6964,0.0103,0.58,0.7600,0.7400,0.8000
opt-125m,MeZO,1e-7,3,0.6369,0.6250,0.6429,0.0103,0.58,0.6467,0.6400,0.6600
opt-125m,MeZO,1e-5,3,0.6012,0.5357,0.6429,0.0574,3.21,0.6067,0.5800,0.6400
opt-125m,MeZO,1e-4,3,0.5179,0.4643,0.5536,0.0472,2.65,0.5733,0.4800,0.6600
opt-125m,MeZO,1e-8,3,0.4821,0.4821,0.4821,0.0000,0.00,0.5267,0.5000,0.5600
opt-125m,MpSub,1e-1,3,0.6726,0.6607,0.6786,0.0103,0.58,0.7733,0.7400,0.8200
opt-125m,MpSub,3e-1,3,0.6726,0.6429,0.6964,0.0273,1.53,0.7800,0.7400,0.8400
opt-125m,MpSub,1.0,3,0.5536,0.5000,0.6071,0.0536,3.00,0.5933,0.4400,0.7600
opt-125m,MpSub,3.0,3,0.4881,0.4286,0.5357,0.0546,3.06,0.4933,0.4400,0.5800
opt-125m,MpSub,10.0,3,0.4643,0.4107,0.5000,0.0472,2.65,0.5067,0.4400,0.5800
opt-350m,MeZO,1e-6,3,0.6845,0.6786,0.6964,0.0103,0.58,0.7800,0.7200,0.8800
opt-350m,MeZO,1e-7,3,0.6607,0.6250,0.6786,0.0309,1.73,0.7000,0.6600,0.7400
opt-350m,MeZO,1e-5,3,0.4405,0.4107,0.5000,0.0515,2.89,0.4400,0.3800,0.5000
opt-350m,MpSub,1e-1,3,0.6905,0.6786,0.7143,0.0206,1.15,0.7867,0.7600,0.8200
