model,method,hyperparameter,seed,test_acc,test_correct_of_56,dev_acc,dev_correct_of_50
opt-125m,MeZO,1e-4,0,0.553571,31,0.480000,24
opt-125m,MeZO,1e-4,1,0.535714,30,0.580000,29
opt-125m,MeZO,1e-4,2,0.464286,26,0.660000,33
opt-125m,MeZO,1e-5,0,0.625000,35,0.600000,30
opt-125m,MeZO,1e-5,1,0.535714,30,0.580000,29
opt-125m,MeZO,1e-5,2,0.642857,36,0.640000,32
opt-125m,MeZO,1e-6,0,0.696429,39,0.740000,37
opt-125m,MeZO,1e-6,1,0.678571,38,0.740000,37
opt-125m,MeZO,1e-6,2,0.678571,38,0.800000,40
opt-125m,MeZO,1e-7,0,0.642857,36,0.640000,32
opt-125m,MeZO,1e-7,1,0.625000,35,0.640000,32
opt-125m,MeZO,1e-7,2,0.642857,36,0.660000,33
opt-125m,MeZO,1e-8,0,0.482143,27,0.520000,26
opt-125m,MeZO,1e-8,1,0.482143,27,0.500000,25
opt-125m,MeZO,1e-8,2,0.482143,27,0.560000,28
opt-125m,MpSub,1.0,0,0.500000,28,0.440000,22
opt-125m,MpSub,1.0,1,0.553571,31,0.580000,29
opt-125m,MpSub,1.0,2,0.607143,34,0.760000,38
opt-125m,MpSub,10.0,0,0.500000,28,0.440000,22
opt-125m,MpSub,10.0,1,0.410714,23,0.500000,25
opt-125m,MpSub,10.0,2,0.482143,27,0.580000,29
opt-125m,MpSub,1e-1,0,0.678571,38,0.740000,37
opt-125m,MpSub,1e-1,1,0.660714,37,0.760000,38
opt-125m,MpSub,1e-1,2,0.678571,38,0.820000,41
opt-125m,MpSub,3.0,0,0.500000,28,0.440000,22
opt-125m,MpSub,3.0,1,0.428571,24,0.580000,29
opt-125m,MpSub,3.0,2,0.535714,30,0.460000,23
opt-125m,MpSub,3e-1,0,0.642857,36,0.740000,37
opt-125m,MpSub,3e-1,1,0.678571,38,0.760000,38
opt-125m,MpSub,3e-1,2,0.696429,39,0.840000,42
opt-350m,MeZO,1e-5,0,0.500000,28,0.440000,22
opt-350m,MeZO,1e-5,1,0.410714,23,0.500000,25
opt-350m,MeZO,1e-5,2,0.410714,23,0.380000,19
opt-350m,MeZO,1e-6,0,0.678571,38,0.740000,37
opt-350m,MeZO,1e-6,1,0.678571,38,0.720000,36
opt-350m,MeZO,1e-6,2,0.696429,39,0.880000,44
opt-350m,MeZO,1e-7,0,0.678571,38,0.700000,35
opt-350m,MeZO,1e-7,1,0.678571,38,0.660000,33
opt-350m,MeZO,1e-7,2,0.625000,35,0.740000,37
opt-350m,MpSub,1e-1,0,0.678571,38,0.760000,38
opt-350m,MpSub,1e-1,1,0.714286,40,0.780000,39
opt-350m,MpSub,1e-1,2,0.678571,38,0.820000,41
